Domain,Sim Reward No Penalty,Sim Reward,DTG Solution,Trained Reward No Penalty,Trained Reward With Penalty,Learning Iterations,Algorithm,Training Time (sec)
1.Order.pl,0.77212,0.77212,0.9235,0.926107109,0.926107109,1000,A2C,6.40625
2.1.Build_1R_Discrete.pl,1.071979866,-69.71418,1.3485,1.350143909,1.350143909,1000,A2C,5.5625
2.2.Build_3R_Discrete.pl,3.128571429,-96.5343,,2.762857199,-97.01654053,100000,A2C,426.203125
2.2.Build_3R_Discrete.pl,3.128571429,-96.5343,,2.775000095,-97.03385925,200000,A2C,952.421875
2.2.Build_3R_Discrete.pl,3.128571429,-96.5343,,2.811295986,-12.93850136,50000,PPO,126.53125
2.2.Build_3R_Discrete.pl,3.128571429,-96.5343,,2.808704138,-10.41653156,100000,PPO,295.75
2.2.Build_3R_Discrete.pl,3.128571429,-96.5343,,3.807677031,3.807677031,200000,PPO,614
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.669062138,-95.21650696,50000,A2C,197.734375
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.642499685,-95.62982178,200000,A2C,920.65625
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.738947392,-96.9859314,100000,PPO,292.390625
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.804545164,-96.22177887,200000,PPO,592.4375
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.470588207,-97.10176086,200000,DQN,676.28125
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.674999952,-96.71817017,300000,PPO,759
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,3.337131023,-72.10651398,500000,PPO,1160.796875
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,3.310260534,-75.30241394,1000000,PPO,2528.8125
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.67999959,-96.31495667,100000,A2C,443.09375
2.3.Build_3R_Discrete_2.pl,3.018181818,-97.19131,,2.658499479,-96.42932129,500000,A2C,2193.859375
2.4.Build_1R_Mixed.pl,-3.04942446,-73.81264,-2.7515,-2.762226343,-2.762226343,1000,A2C,5.1875
2.5.Build_5R_Mixed.pl,3.73,-99.18992,,3.5,-97.1247406,300000,PPO,742.640625
3.1.Heating_1R_Mixed.pl,-2.8534675,-2.8534675,-1.4175,-1.41748929,-1.41748929,1000,A2C,7.671875
3.1.Heating_10R_Mixed.pl,-1.758330109,-1.758330109,,-0.956632197,-0.956632197,1000,A2C,5.609375
3.1.Heating_10R_Mixed.pl,-1.758330109,-1.758330109,,-0.808594346,-0.808594346,20000,DQN,69.234375
4.1.OrganizeTravel.pl,0.341481481,-94.46834,0.908504,0.447468489,-83.48668671,1000,A2C,6.234375
4.1.OrganizeTravel.pl,0.341481481,-94.46834,0.908504,0.912503779,0.912503779,50000,A2C,247.15625
